名称,基准,类型,保存值
特征点5,NA,Point,"6727.776,-65.482,12.827,0.000,0.000,1.000"
特征点6,NA,Point,"6721.781,-64.350,1.638,0.000,0.000,1.000"
特征点7,NA,Point,"6714.411,-63.623,-12.107,0.000,0.000,1.000"
特征点8,NA,Point,"6747.104,-41.524,1.213,0.000,0.000,1.000"
特征点9,NA,Point,"6747.367,-18.503,1.332,0.000,0.000,1.000"
特征点10,NA,Point,"6747.764,16.414,1.453,0.000,0.000,1.000"
特征点11,NA,Point,"6729.031,44.825,12.827,0.000,0.000,1.000"
特征点12,NA,Point,"6719.684,42.323,-4.530,0.000,0.000,1.000"
特征点13,NA,Point,"6713.906,41.636,-15.279,0.000,0.000,1.000"
特征点14,NA,Point,"6319.739,-64.598,-31.501,0.000,0.000,1.000"
特征点15,NA,Point,"6329.918,50.104,-31.501,0.000,0.000,1.000"
特征点16,NA,Point,"5520.013,-69.593,-31.500,0.000,0.000,1.000"
特征点17,NA,Point,"5514.086,69.317,-31.500,0.000,0.000,1.000"
特征点18,NA,Point,"4953.208,-73.054,-31.500,0.000,0.000,1.000"
特征点19,NA,Point,"4932.598,83.197,-31.500,0.000,0.000,1.000"
特征点20,NA,Point,"3828.015,-77.925,-31.500,0.000,0.000,1.000"
特征点21,NA,Point,"3807.111,109.661,-31.500,0.000,0.000,1.000"
特征点22,NA,Point,"2840.697,-82.308,-31.500,0.000,0.000,1.000"
特征点23,NA,Point,"2825.187,131.844,-31.500,0.000,0.000,1.000"
特征点24,NA,Point,"1868.248,-87.705,-31.500,0.000,0.000,1.000"
特征点25,NA,Point,"1902.225,152.150,-31.500,0.000,0.000,1.000"
特征点26,NA,Point,"680.692,-95.950,-31.500,0.000,0.000,1.000"
特征点27,NA,Point,"714.612,179.688,-31.500,0.000,0.000,1.000"
特征点28,NA,Point,"36.903,208.522,50.268,0.000,0.000,1.000"
特征点29,NA,Point,"36.641,206.516,32.797,0.000,0.000,1.000"
特征点30,NA,Point,"36.398,204.662,14.091,0.000,0.000,1.000"
特征点31,NA,Point,"32.672,176.183,0.844,0.000,0.000,1.000"
特征点32,NA,Point,"17.247,58.303,2.193,0.000,0.000,1.000"
特征点33,NA,Point,"1.872,-59.201,1.221,0.000,0.000,1.000"
特征点34,NA,Point,"-3.933,-103.570,59.466,0.000,0.000,1.000"
特征点35,NA,Point,"-3.527,-100.465,37.580,0.000,0.000,1.000"
特征点36,NA,Point,"-3.258,-98.412,13.291,0.000,0.000,1.000"
特征点37,NA,Point,"344.574,3.924,2.102,0.000,0.000,1.000"
特征点38,NA,Point,"306.555,48.826,1.869,0.000,0.000,1.000"
特征点39,NA,Point,"346.674,90.451,1.612,0.000,0.000,1.000"
特征点40,NA,Point,"393.514,46.385,1.766,0.000,0.000,1.000"
特征点41,NA,Point,"1491.352,-6.586,2.065,0.000,0.000,1.000"
特征点42,NA,Point,"1452.258,36.318,1.121,0.000,0.000,1.000"
特征点43,NA,Point,"1498.632,80.093,1.860,0.000,0.000,1.000"
特征点44,NA,Point,"1539.167,33.957,2.330,0.000,0.000,1.000"
特征点45,NA,Point,"2027.445,-8.816,1.090,0.000,0.000,1.000"
特征点46,NA,Point,"1994.606,36.947,1.859,0.000,0.000,1.000"
特征点47,NA,Point,"2028.196,72.630,1.402,0.000,0.000,1.000"
特征点48,NA,Point,"2077.209,29.281,1.485,0.000,0.000,1.000"
特征点49,NA,Point,"2565.535,-16.429,1.955,0.000,0.000,1.000"
特征点50,NA,Point,"2522.592,32.559,2.151,0.000,0.000,1.000"
特征点51,NA,Point,"2561.925,70.397,2.039,0.000,0.000,1.000"
特征点52,NA,Point,"2608.663,20.002,2.518,0.000,0.000,1.000"
特征点53,NA,Point,"2970.760,-18.064,1.884,0.000,0.000,1.000"
特征点54,NA,Point,"2928.702,23.271,1.636,0.000,0.000,1.000"
特征点55,NA,Point,"2970.056,64.928,1.521,0.000,0.000,1.000"
特征点56,NA,Point,"3011.077,16.276,1.289,0.000,0.000,1.000"
特征点57,NA,Point,"3375.440,-21.601,1.070,0.000,0.000,1.000"
特征点58,NA,Point,"3331.824,26.544,1.463,0.000,0.000,1.000"
特征点59,NA,Point,"3370.838,61.263,1.663,0.000,0.000,1.000"
特征点60,NA,Point,"3414.220,17.793,2.025,0.000,0.000,1.000"
特征点61,NA,Point,"3784.318,-24.372,1.192,0.000,0.000,1.000"
特征点62,NA,Point,"3745.648,20.435,0.858,0.000,0.000,1.000"
特征点63,NA,Point,"3786.975,56.579,2.075,0.000,0.000,1.000"
特征点64,NA,Point,"3826.411,15.663,1.748,0.000,0.000,1.000"
特征点65,NA,Point,"4320.903,-27.201,1.310,0.000,0.000,1.000"
特征点66,NA,Point,"4283.859,12.390,1.168,0.000,0.000,1.000"
特征点67,NA,Point,"4322.987,49.764,1.228,0.000,0.000,1.000"
特征点68,NA,Point,"4360.714,8.152,1.554,0.000,0.000,1.000"
特征点69,NA,Point,"4919.931,-20.086,0.770,0.000,0.000,1.000"
特征点70,NA,Point,"4895.007,7.633,1.066,0.000,0.000,1.000"
特征点71,NA,Point,"4920.967,31.882,0.302,0.000,0.000,1.000"
特征点72,NA,Point,"4946.855,3.807,1.049,0.000,0.000,1.000"
特征点73,NA,Point,"5634.444,-30.532,0.454,0.000,0.000,1.000"
特征点74,NA,Point,"5611.666,2.461,1.654,0.000,0.000,1.000"
特征点75,NA,Point,"5648.247,29.861,1.240,0.000,0.000,1.000"
特征点76,NA,Point,"5673.511,-0.252,1.146,0.000,0.000,1.000"
特征点77,NA,Point,"6309.951,-32.597,0.901,0.000,0.000,1.000"
特征点78,NA,Point,"6284.592,-6.972,1.070,0.000,0.000,1.000"
特征点79,NA,Point,"6310.255,19.382,1.278,0.000,0.000,1.000"
特征点80,NA,Point,"6336.571,-5.997,0.972,0.000,0.000,1.000"
