名称,基准,类型,保存值
点82,NA,Point,"3159.578,128.428,-8.355,0.024,0.995,-0.097"
点83,NA,Point,"3162.163,125.818,-34.399,0.024,0.995,-0.097"
点84,NA,Point,"3274.961,128.853,24.316,0.024,0.995,-0.097"
点85,NA,Point,"3277.974,124.371,-20.988,0.024,0.995,-0.097"
点86,NA,Point,"3393.600,125.905,23.196,0.024,0.995,-0.097"
点87,NA,Point,"3399.092,121.465,-21.211,0.024,0.995,-0.096"
点88,NA,Point,"3447.467,122.551,1.785,0.024,0.995,-0.097"
点89,NA,Point,"3499.690,123.416,23.672,0.024,0.995,-0.096"
点90,NA,Point,"3503.725,118.818,-22.807,0.024,0.995,-0.096"
点91,NA,Point,"3610.804,120.712,23.175,0.024,0.995,-0.096"
点92,NA,Point,"3613.333,116.172,-23.172,0.024,0.995,-0.096"
点93,NA,Point,"3670.433,116.844,-2.176,0.024,0.995,-0.096"
点94,NA,Point,"3726.896,118.004,23.908,0.024,0.995,-0.096"
点95,NA,Point,"3730.878,113.645,-20.358,0.024,0.995,-0.096"
点96,NA,Point,"3855.534,114.843,23.046,0.024,0.995,-0.095"
点97,NA,Point,"3857.483,110.670,-19.947,0.024,0.995,-0.096"
点98,NA,Point,"3911.780,111.458,1.667,0.024,0.995,-0.096"
点99,NA,Point,"3967.161,112.072,21.957,0.024,0.995,-0.095"
点100,NA,Point,"3967.628,107.849,-22.007,0.024,0.995,-0.096"
点101,NA,Point,"4072.416,109.541,21.802,0.024,0.995,-0.095"
点102,NA,Point,"4075.185,105.226,-22.651,0.024,0.995,-0.095"
点103,NA,Point,"4146.505,106.323,-1.332,0.024,0.995,-0.095"
点104,NA,Point,"4180.991,107.727,22.092,0.024,0.995,-0.094"
点105,NA,Point,"4185.231,103.396,-22.306,0.024,0.995,-0.095"
点106,NA,Point,"4307.915,104.419,19.201,0.024,0.995,-0.094"
点107,NA,Point,"4312.541,100.551,-20.374,0.024,0.995,-0.095"
点108,NA,Point,"4370.627,101.217,1.218,0.024,0.995,-0.094"
点109,NA,Point,"4422.155,102.165,24.309,0.024,0.995,-0.094"
点110,NA,Point,"4431.734,97.345,-24.253,0.024,0.995,-0.094"
点111,NA,Point,"4542.021,99.240,23.699,0.024,0.995,-0.093"
点112,NA,Point,"4544.039,96.512,-4.801,0.024,0.995,-0.094"
点113,NA,Point,"4542.241,93.895,-32.949,0.024,0.995,-0.094"
点114,NA,Point,"4643.259,96.893,24.533,0.024,0.995,-0.093"
点115,NA,Point,"4651.374,92.299,-22.336,0.024,0.995,-0.094"
点116,NA,Point,"4749.801,94.288,23.945,0.024,0.995,-0.093"
点117,NA,Point,"4759.360,89.568,-24.075,0.024,0.995,-0.093"
点118,NA,Point,"4808.464,90.431,-2.391,0.024,0.995,-0.093"
点119,NA,Point,"4848.293,91.889,23.510,0.024,0.995,-0.092"
点120,NA,Point,"4859.690,87.369,-22.063,0.024,0.995,-0.093"
点121,NA,Point,"4940.122,89.797,24.665,0.024,0.996,-0.092"
点122,NA,Point,"4947.268,85.330,-21.585,0.024,0.995,-0.093"
点123,NA,Point,"4992.659,86.057,-2.173,0.024,0.995,-0.092"
点124,NA,Point,"5029.642,87.491,22.900,0.024,0.996,-0.091"
点125,NA,Point,"5040.063,83.126,-21.543,0.024,0.995,-0.093"
点126,NA,Point,"5126.709,85.137,22.578,0.024,0.996,-0.091"
点127,NA,Point,"5134.788,80.718,-23.220,0.024,0.995,-0.092"
点128,NA,Point,"5170.730,82.038,0.319,0.024,0.996,-0.092"
点129,NA,Point,"5219.994,82.855,22.060,0.024,0.996,-0.091"
点130,NA,Point,"5228.489,78.679,-21.173,0.024,0.996,-0.092"
点131,NA,Point,"5314.680,80.624,22.458,0.024,0.996,-0.090"
点132,NA,Point,"5322.741,76.289,-22.805,0.024,0.996,-0.091"
点133,NA,Point,"5359.478,77.361,-1.570,0.024,0.996,-0.091"
点134,NA,Point,"5407.461,78.450,23.002,0.024,0.996,-0.090"
点135,NA,Point,"5415.034,74.196,-21.695,0.024,0.996,-0.091"
点136,NA,Point,"5509.247,76.039,23.321,0.024,0.996,-0.089"
点137,NA,Point,"5517.796,71.634,-23.006,0.024,0.996,-0.090"
