SEG,PTC11,timestamp
0,24.804169,1668004675
0,24.904257,1668004735
0,25.104431,1668004795
0,25.304604,1668004855
0,25.504778,1668004915
0,25.704952,1668004975
0,26.005213,1668005035
0,26.405561,1668005095
0,26.80591,1668005155
0,27.306345,1668005215
0,27.706692,1668005275
0,28.307215,1668005335
0,28.907736,1668005395
0,29.508259,1668005455
0,30.208868,1668005515
0,30.909475,1668005575
0,31.610085,1668005635
0,32.41078,1668005695
0,33.211475,1668005755
0,34.11226,1668005815
0,35.013042,1668005875
0,35.913826,1668005935
0,36.81461,1668005995
0,37.81548,1668006055
0,38.916435,1668006115
0,40.017395,1668006175
0,41.11835,1668006235
0,42.219307,1668006295
0,43.52044,1668006355
0,44.72148,1668006415
0,45.922527,1668006475
0,47.223656,1668006535
0,48.624874,1668006595
0,50.026093,1668006655
0,51.42731,1668006715
0,52.82853,1668006775
0,54.229748,1668006835
1,55.731052,1668006895
1,57.232357,1668006955
1,58.73366,1668007015
1,60.335052,1668007075
1,61.936447,1668007135
1,63.637924,1668007195
1,65.23932,1668007255
1,67.040886,1668007315
1,68.84245,1668007375
1,70.54393,1668007435
1,72.24541,1668007495
1,74.046974,1668007555
1,75.84854,1668007615
1,77.75019,1668007675
1,79.55176,1668007735
1,81.5535,1668007795
1,83.55524,1668007855
1,85.456894,1668007915
1,87.45863,1668007975
1,89.46037,1668008035
1,91.46211,1668008095
1,93.46385,1668008155
1,95.56568,1668008215
1,97.56742,1668008275
1,99.66924,1668008335
1,101.77107,1668008395
1,103.77281,1668008455
1,105.67447,1668008515
1,107.57612,1668008575
1,109.47777,1668008635
1,111.279335,1668008695
1,113.0809,1668008755
1,114.78238,1668008815
1,116.58395,1668008875
1,118.28543,1668008935
1,119.98691,1668008995
1,121.48821,1668009055
1,123.0896,1668009115
1,124.791084,1668009175
1,126.39247,1668009235
1,127.893776,1668009295
1,129.39508,1668009355
1,130.7963,1668009415
1,132.19753,1668009475
1,133.59874,1668009535
1,134.89987,1668009595
1,136.30109,1668009655
1,137.60222,1668009715
1,138.90335,1668009775
1,140.20448,1668009835
1,141.30544,1668009895
1,142.50648,1668009955
1,143.70752,1668010015
1,144.70839,1668010075
1,145.80936,1668010135
1,146.91031,1668010195
1,147.91118,1668010255
1,148.91205,1668010315
1,149.91292,1668010375
1,150.8137,1668010435
1,151.81458,1668010495
1,152.61526,1668010555
1,153.51605,1668010615
1,154.41684,1668010675
1,155.11745,1668010735
1,156.01822,1668010795
1,156.71884,1668010855
1,157.51953,1668010915
1,158.22014,1668010975
1,158.92075,1668011035
1,159.72145,1668011095
1,160.32196,1668011155
1,161.02258,1668011215
1,161.6231,1668011275
1,162.22362,1668011335
1,162.82414,1668011395
1,163.42467,1668011455
1,164.02519,1668011515
1,164.52562,1668011575
1,165.02606,1668011635
1,165.52649,1668011695
1,166.02693,1668011755
1,166.62744,1668011815
1,167.12788,1668011875
1,167.62831,1668011935
1,168.02867,1668011995
1,168.42902,1668012055
1,168.92944,1668012115
1,169.2297,1668012175
1,169.73015,1668012235
1,170.03041,1668012295
1,170.43076,1668012355
1,170.8311,1668012415
1,171.13136,1668012475
1,171.53171,1668012535
1,171.83197,1668012595
1,172.13223,1668012655
1,172.4325,1668012715
1,172.73276,1668012775
1,173.03302,1668012835
1,173.23318,1668012895
1,173.63354,1668012955
1,173.83371,1668013015
1,173.84,1668013075
1,173.85,1668013135
1,173.86,1668013195
1,173.87,1668013255
1,173.88,1668013315
1,173.89,1668013375
1,173.9,1668013435
1,173.91,1668013495
1,173.92,1668013555
1,173.93,1668013615
1,173.94,1668013675
1,173.95,1668013735
1,173.96,1668013795
1,173.97,1668013855
1,173.98,1668013915
1,173.99,1668013975
1,173.99,1668014035
1,173.99,1668014095
2,177.53693,1668014155
2,177.7371,1668014215
2,177.83719,1668014275
2,178.03737,1668014335
2,178.13745,1668014395
2,178.23753,1668014455
2,178.33763,1668014515
2,178.43771,1668014575
2,178.6379,1668014635
2,178.73798,1668014695
2,178.83806,1668014755
2,178.93816,1668014815
2,179.03824,1668014875
2,179.13832,1668014935
