DataTime,PTC36,PTC17,PTC45,PTC30,VPRB12,PRESS
2025/8/19 5:14:58.000,27.7,27.8,27.09691,27.29683,-97.5309,-2.501158
2025/8/19 5:15:56.000,27.8,28,27.19687,27.39678,-97.374,50.57896
2025/8/19 5:16:56.000,28.1,28.3,27.19687,27.49674,-97.374,104.7707
2025/8/19 5:17:56.000,28.6,28.8,27.39678,27.5967,1.155303,158.6846
2025/8/19 5:18:56.000,29.1,29.3,27.49674,27.79661,1.155303,212.8763
2025/8/19 5:19:56.000,29.5,29.7,27.79661,28.09648,1.312197,266.7901
2025/8/19 5:20:56.000,30,30.2,28.09648,28.39635,2.881135,320.4261
2025/8/19 5:21:56.000,30.5,30.7,28.29639,28.59626,3.665604,373.7841
2025/8/19 5:22:56.000,31,31.2,28.59626,28.99609,4.450073,426.8642
2025/8/19 5:23:56.000,31.5,31.7,28.99609,29.29596,4.606967,478.8327
2025/8/19 5:24:56.000,32,32.2,29.29596,29.69578,4.763861,530.8012
2025/8/19 5:25:56.000,32.5,32.7,29.69578,29.99565,4.293179,581.936
2025/8/19 5:26:56.000,33,33.2,29.99565,30.39548,3.979392,631.9592
2025/8/19 5:27:56.000,33.5,33.7,30.39548,30.79531,3.822498,630.5696
2025/8/19 5:28:56.000,33.9,34.2,30.79531,31.19513,3.822498,630.5696
2025/8/19 5:29:56.000,34.5,34.7,31.19513,31.59496,3.665604,630.0138
2025/8/19 5:30:56.000,35.1,35.4,31.495,31.99478,3.50871,630.0138
2025/8/19 5:31:56.000,35.8,36.1,31.99479,32.49457,3.50871,629.7359
2025/8/19 5:32:56.000,36.6,36.9,32.39461,32.89439,3.351816,630.0138
2025/8/19 5:33:56.000,37.4,37.7,32.89439,33.39418,3.351816,629.7359
2025/8/19 5:34:56.000,38.4,38.7,33.39418,33.99392,3.194923,630.0138
2025/8/19 5:35:56.000,39.4,39.7,33.99392,34.59365,3.351816,630.0138
2025/8/19 5:36:56.000,40.4,40.7,34.59365,35.29335,3.194923,630.0138
2025/8/19 5:37:56.000,41.5,41.8,35.29335,35.99305,3.194923,630.2917
2025/8/19 5:38:56.000,42.6,42.9,36.093,36.7927,3.038029,630.0138
2025/8/19 5:39:56.000,43.7,44,36.7927,37.59235,3.038029,630.0138
2025/8/19 5:40:56.000,44.9,45.2,37.59235,38.392,3.038029,630.2917
2025/8/19 5:41:56.000,46,46.3,38.392,39.29161,3.038029,630.0138
2025/8/19 5:42:57.000,47.2,47.5,39.29161,40.19122,2.881135,630.2917
2025/8/19 5:43:58.000,48.5,48.8,40.29118,41.19078,3.038029,630.0138
2025/8/19 5:44:56.000,49.7,50,41.29074,42.09039,2.881135,630.2917
2025/8/19 5:45:56.000,50.9,51.2,42.19035,43.18991,2.724241,629.7359
