PTC11,timestamp
97.6675,1667497701
95.765854,1667497761
93.96429,1667497821
92.26281,1667497881
90.661415,1667497941
89.06002,1667498001
87.45863,1667498061
85.95733,1667498121
84.55611,1667498181
83.15489,1667498241
81.85376,1667498301
80.55263,1667498361
79.251495,1667498421
78.05045,1667498481
76.84941,1667498541
75.64837,1667498601
74.54741,1667498661
73.44645,1667498721
72.3455,1667498781
71.24454,1667498841
70.24367,1667498901
69.34289,1667498961
68.4421,1667499021
67.44123,1667499081
66.54045,1667499141
65.73975,1667499201
64.83897,1667499261
64.13836,1667499321
63.337666,1667499381
58,1667499441
53,1667499501
61.13575,1667499561
60.435143,1667499621
59.73453,1667499681
59.13401,1667499741
58.433403,1667499801
57.632706,1667499861
56.731922,1667499921
56.031315,1667499981
55.330704,1667500041
54.630096,1667500101
53.929485,1667500161
53.328964,1667500221
52.82853,1667500281
52.42818,1667500341
51.927746,1667500401
51.627483,1667500461
