PTC11,PTC24,timestamp
23.402952,23.301435,1667480841
24.10356,23.801653,1667480901
24.704082,24.201826,1667480961
25.304604,24.702044,1667481021
26.1053,25.202261,1667481081
26.80591,25.802523,1667481141
27.606606,26.502827,1667481201
28.307215,27.103088,1667481261
29.10791,27.703348,1667481321
29.908606,28.503696,1667481381
31.209738,29.404089,1667481441
32.71104,30.504566,1667481501
34.312435,31.70509,1667481561
36.013912,33.105698,1667481621
37.915565,34.60635,1667481681
39.81722,36.107002,1667481741
41.81896,37.7077,1667481801
43.920788,39.508484,1667481861
46.1227,41.309265,1667481921
48.4247,43.21009,1667481981
50.726704,45.21096,1667482041
53.0287,47.11179,1667482101
55.330704,49.2127,1667482161
57.83288,51.313614,1667482221
60.234966,53.414528,1667482281
62.637054,55.51544,1667482341
65.13923,57.7164,1667482401
67.6414,59.917355,1667482461
70.043495,62.218357,1667482521
72.54567,64.519356,1667482581
75.047844,66.720314,1667482641
77.65011,69.12136,1667482701
80.15228,71.422356,1667482761
82.75454,73.72336,1667482821
85.356804,76.124405,1667482881
87.95907,78.525444,1667482941
90.46124,80.92649,1667483001
93.06351,83.32754,1667483061
95.665764,85.82862,1667483121
98.26803,88.22967,1667483181
100.87029,90.73075,1667483241
103.67272,93.23184,1667483301
106.27499,95.83297,1667483361
108.87725,98.33406,1667483421
111.67969,100.835144,1667483481
114.18186,103.336235,1667483541
116.78412,105.837326,1667483601
119.38638,108.33841,1667483661
122.08873,110.939545,1667483721
124.791084,113.44063,1667483781
127.49343,116.04176,1667483841
130.09569,118.54285,1667483901
132.69795,121.143974,1667483961
135.30022,123.645065,1667484021
138.00256,126.24619,1667484081
140.70491,128.74728,1667484141
143.40726,131.34842,1667484201
146.10962,133.94954,1667484261
148.71187,136.45064,1667484321
151.41423,139.05176,1667484381
154.11658,141.6529,1667484441
156.919,144.35406,1667484501
159.62135,146.85516,1667484561
162.22362,149.45628,1667484621
165.02606,152.05742,1667484681
167.72841,154.65855,1667484741
169.93031,157.0596,1667484801
171.73189,159.3606,1667484861
173.33328,161.36147,1667484921
174.63441,183.16225,1667484981
175.73537,164.86299,1667485041
176.63615,166.36365,1667485101
177.43684,167.76425,1667485161
178.23753,169.06482,1667485221
178.83806,170.26534,1667485281
179.3385,188.26578,1667485341
179.73885,172.16617,1667485401
180.23927,173.06656,1667485461
180.53954,173.8669,1667485521
180.8398,174.5672,1667485581
181.03998,175.26752,1667485641
181.34024,175.86777,1667485701
181.44032,176.26794,1667485761
181.5404,176.76816,1667485821
181.6405,177.16833,1667485881
181.84067,177.56851,1667485941
181.94077,177.96869,1667486001
182.04085,178.26881,1667486061
182.04085,178.4689,1667486121
182.14093,178.76903,1667486181
182.14093,178.96912,1667486241
182.14093,179.1692,1667486301
182.14093,179.26926,1667486361
182.24103,179.46935,1667486421
182.24103,179.56938,1667486481
182.24103,179.66942,1667486541
182.24103,179.76947,1667486601
182.24103,179.8695,1667486661
182.24103,179.96956,1667486721
182.24103,179.96956,1667486781
182.24103,180.0696,1667486841
182.24103,180.16965,1667486901
182.24103,180.16965,1667486961
182.24103,180.16965,1667487021
182.14093,180.16965,1667487081
182.14093,180.26968,1667487141
182.14093,180.26968,1667487201
182.24103,180.36974,1667487261
182.14093,180.36974,1667487321
182.14093,180.36974,1667487381
182.14093,180.36974,1667487441
182.04085,180.26968,1667487501
182.04085,180.26968,1667487561
182.04085,180.36974,1667487621
182.04085,180.36974,1667487681
182.04085,180.36974,1667487741
182.04085,180.36974,1667487801
182.04085,180.36974,1667487861
181.94077,180.26968,1667487921
181.94077,180.36974,1667487981
181.94077,180.36974,1667488041
181.94077,180.36974,1667488101
181.94077,180.36974,1667488161
