DataTime,PTC1,PTC2,PTC5,PTC8,VPRB1,PRESS
2025/9/17 9:35:18.000,26.00261,26.1,26.20539,26.00261,-93.40334,0.08305648
2025/9/17 9:36:18.000,26.00261,26.2,26.30547,26.10266,-93.17645,0.9011628
2025/9/17 9:37:18.000,26.2027,26.3,26.40556,26.2027,0.3025134,2.400332
2025/9/17 9:38:18.000,26.30274,26.5,26.50565,26.30274,0.3025134,3.210133
2025/9/17 9:39:18.000,26.50283,26.6,26.60574,26.50283,0.07562267,3.210133
2025/9/17 9:40:18.000,26.60287,26.8,26.80591,26.70292,0.07562267,3.218439
2025/9/17 9:41:18.000,26.903,27,27.00608,26.903,0.07562267,3.214286
2025/9/17 9:42:18.000,27.20313,27.3,27.30634,27.20313,0.07562267,3.214286
2025/9/17 9:43:19.000,27.50327,27.7,27.60661,27.60331,0.07562267,3.210133
2025/9/17 9:44:18.000,27.90344,28.1,28.00695,28.10353,0.07562267,3.214286
2025/9/17 9:45:18.000,28.40366,28.5,28.4073,28.60374,0.07562267,3.210133
2025/9/17 9:46:18.000,28.90387,29,28.90774,29.10396,0.07562267,3.214286
2025/9/17 9:47:18.000,29.40409,29.6,29.50826,29.70422,0.07562267,3.214286
2025/9/17 9:48:18.000,30.1044,30.2,30.10878,30.40453,0.07562267,3.214286
2025/9/17 9:49:18.000,30.60461,30.7,30.7093,31.00479,0.07562267,3.210133
2025/9/17 9:50:18.000,31.40496,31.5,31.40991,31.70509,0.07562267,3.210133
2025/9/17 9:51:18.000,32.10527,32.3,32.11052,32.4054,0.3025134,3.214286
2025/9/17 9:52:18.000,32.90561,33,32.81113,33.20575,0.07562267,3.218439
2025/9/17 9:53:18.000,33.70596,33.8,33.51174,34.00609,0.07562267,3.214286
2025/9/17 9:54:18.000,34.60635,34.7,34.31244,34.80644,0.3025134,3.210133
2025/9/17 9:55:18.000,35.50674,35.6,35.21322,35.70683,0.07562267,3.214286
2025/9/17 9:56:18.000,36.50718,36.6,36.114,36.60722,0.07562267,3.214286
2025/9/17 9:57:18.000,37.50761,37.6,37.01478,37.60766,0.07562267,3.214286
2025/9/17 9:58:18.000,38.50805,38.6,37.91557,38.50805,0.07562267,3.214286
2025/9/17 9:59:18.000,39.60853,39.7,38.91644,39.50848,0.07562267,3.218439
2025/9/17 10:00:18.000,40.80905,40.8,39.9173,40.60896,0.07562267,3.214286
2025/9/17 10:01:18.000,42.00957,42.1,40.91817,41.70944,0.3025134,3.214286
2025/9/17 10:02:18.000,43.21009,43.2,42.01913,42.80992,0.3025134,3.214286
2025/9/17 10:03:18.000,44.51066,44.6,43.22018,44.01044,0.3025134,3.214286
2025/9/17 10:04:18.000,45.81123,45.9,44.42122,45.21096,0.3025134,3.210133
2025/9/17 10:05:18.000,47.21183,47.3,45.62226,46.51153,0.3025134,3.210133
2025/9/17 10:06:18.000,48.61244,48.8,46.9234,47.8121,0.07562267,3.214286
2025/9/17 10:07:18.000,50.01305,50.1,48.12444,49.11266,0.3025134,3.210133
2025/9/17 10:08:18.000,51.51371,51.6,49.42557,50.51327,0.529404,3.214286
2025/9/17 10:09:18.000,53.1144,53.2,50.82679,51.91388,0.07562267,3.214286
2025/9/17 10:10:18.000,54.81514,54.9,52.22801,53.41453,0.3025134,3.214286
2025/9/17 10:11:18.000,56.41584,56.5,53.72931,54.81514,0.3025134,3.210133
2025/9/17 10:12:18.000,58.11658,58.2,55.23062,56.31579,0.3025134,3.210133
2025/9/17 10:13:18.000,59.91736,60,56.63184,57.91649,0.3025134,3.214286
2025/9/17 10:14:18.000,61.71814,61.8,58.23323,59.51719,0.07562267,3.214286
